Job_Id,Job_Title,Job_Location,Job_Schedule_Type,Salary_Year_Avg,Job_Posted_Date,Company_Name
226942,Data Analyst,Anywhere,Full-time,650000,20/02/2023 15:13,Mantys
547382,Director of Analytics,Anywhere,Full-time,336500,23/08/2023 12:04,Meta
552322,Associate Director- Data Insights,Anywhere,Full-time,255830,18/06/2023 16:03,AT&T
99305,"Data Analyst, Marketing",Anywhere,Full-time,232423,05/12/2023 20:00,Pinterest Job Advertisements
1021647,Data Analyst (Hybrid/Remote),Anywhere,Full-time,217000,17/01/2023 00:17,Uclahealthcareers
168310,Principal Data Analyst (Remote),Anywhere,Full-time,205000,09/08/2023 11:00,SmartAsset
731368,"Director, Data Analyst - HYBRID",Anywhere,Full-time,189309,07/12/2023 15:00,Inclusively
310660,"Principal Data Analyst, AV Performance Analysis",Anywhere,Full-time,189000,05/01/2023 00:00,Motional
1749593,Principal Data Analyst,Anywhere,Full-time,186000,11/07/2023 16:00,SmartAsset
387860,ERM Data Analyst,Anywhere,Full-time,184000,09/06/2023 08:01,Get It Recruit - Information Technology
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
